true,GRNN_pred
1426.1854,1532.5043248620532
1664.0759,1765.6453673879366
2413.8792,2516.865667644739
2526.4011,2654.6454791837828
2884.5242,3009.843783854447
3044.704,3185.1721813239374
1473.7611,1656.229352786714
1700.0353,1799.0922305853233
1760.728,1854.4477912169118
2458.805,2460.7562804654026
2954.2683,2959.594905914493
3666.755,3636.9537756627433
3809.1907,3784.9003236586627
1679.7452,1979.578547677742
2929.6528,2907.216207788747
3844.4187,3731.607293320696
3935.89,3831.0645803733532
4102.642,4057.6487830552746
4206.3315,4175.359689980984
4268.961,4287.383255158238
4675.305,4669.992466863153
3493.7063,3451.711296613248
3888.157,3840.672466942523
3994.0007,3950.967951298258
4176.9893,4189.2236060234245
4284.7866,4312.113462251744
4371.694,4433.168924719999
4766.6953,4876.229910642171
4967.5664,5074.454077517301
5065.6377,5164.384566925308
2338.5566,2596.7821492945477
3224.4045,3239.3672678247185
5868.4106,5882.066999422202
2890.384,3022.533601196898
3381.0774,3427.2715992645976
3507.9988,3555.116292991016
4751.7534,4722.620171959271
5624.7373,5594.031291192791
6359.73,6362.331499958476
6483.2754,6490.590173563003
3894.7515,3843.597297180976
4031.8428,3993.7268166202834
5550.1455,5408.9245228868085
5975.8765,5866.861057042117
