metric,model_a,model_b,paired_n,mean_delta,std_delta,ci_low,ci_high,win_count,tie_count,loss_count,p_value,stats_method,n_permutations,ci_method,paired_key_definition,higher_is_better,better_model_by_mean
R2_main,inverse_GRNN,inverse_KAN,25,-0.1659742143482825,0.019905263903820688,-0.17325776458215197,-0.15802590268771696,0,0,25,0.0,paired_permutation_monte_carlo,10000,paired_bootstrap_percentile,"(protocol, fold_id, train_seed, outer_repeat_id)",1,inverse_KAN
R2_main,inverse_GRNN,inverse_MLP,25,-0.16526651313845772,0.01992530603125853,-0.17239309901218963,-0.15700757946906907,0,0,25,0.0,paired_permutation_monte_carlo,10000,paired_bootstrap_percentile,"(protocol, fold_id, train_seed, outer_repeat_id)",1,inverse_MLP
R2_main,inverse_KAN,inverse_MLP,25,0.0007077012098247426,0.00046597328849715217,0.0005348120362819392,0.0008878634662755486,25,0,0,0.0,paired_permutation_monte_carlo,10000,paired_bootstrap_percentile,"(protocol, fold_id, train_seed, outer_repeat_id)",1,inverse_KAN
ARE_main(%),inverse_GRNN,inverse_KAN,25,-8.302591772358307,2.1465492529306185,-9.12832998928813,-7.49746295499914,0,0,25,0.0,paired_permutation_monte_carlo,10000,paired_bootstrap_percentile,"(protocol, fold_id, train_seed, outer_repeat_id)",0,inverse_KAN
ARE_main(%),inverse_GRNN,inverse_MLP,25,-7.985908745089275,2.1669758972364592,-8.86763500203347,-7.208141103887234,0,0,25,0.0,paired_permutation_monte_carlo,10000,paired_bootstrap_percentile,"(protocol, fold_id, train_seed, outer_repeat_id)",0,inverse_MLP
ARE_main(%),inverse_KAN,inverse_MLP,25,0.31668302726903064,0.1207128863574562,0.2720895904911118,0.3604061898602906,25,0,0,0.0,paired_permutation_monte_carlo,10000,paired_bootstrap_percentile,"(protocol, fold_id, train_seed, outer_repeat_id)",0,inverse_KAN
R2_all,inverse_GRNN,inverse_KAN,25,-0.1001939812961032,0.012385515897509839,-0.10447697342616327,-0.09488219386116156,0,0,25,0.0,paired_permutation_monte_carlo,10000,paired_bootstrap_percentile,"(protocol, fold_id, train_seed, outer_repeat_id)",1,inverse_KAN
R2_all,inverse_GRNN,inverse_MLP,25,-0.09929545180237832,0.0124758153611497,-0.10381100038855604,-0.0941140428143196,0,0,25,0.0,paired_permutation_monte_carlo,10000,paired_bootstrap_percentile,"(protocol, fold_id, train_seed, outer_repeat_id)",1,inverse_MLP
R2_all,inverse_KAN,inverse_MLP,25,0.0008985294937248645,0.0005018317661650695,0.0007210245981016331,0.001107230759376896,25,0,0,0.0,paired_permutation_monte_carlo,10000,paired_bootstrap_percentile,"(protocol, fold_id, train_seed, outer_repeat_id)",1,inverse_KAN
ARE_all(%),inverse_GRNN,inverse_KAN,25,-7.732410804970406,1.354856013375711,-8.245249750549357,-7.2620894619568235,0,0,25,0.0,paired_permutation_monte_carlo,10000,paired_bootstrap_percentile,"(protocol, fold_id, train_seed, outer_repeat_id)",0,inverse_KAN
ARE_all(%),inverse_GRNN,inverse_MLP,25,-7.143519672986044,1.3243177612180224,-7.665209622645669,-6.672346572764021,0,0,25,0.0,paired_permutation_monte_carlo,10000,paired_bootstrap_percentile,"(protocol, fold_id, train_seed, outer_repeat_id)",0,inverse_MLP
ARE_all(%),inverse_KAN,inverse_MLP,25,0.5888911319843605,0.19003781652615714,0.5212941272677595,0.6639941303533841,25,0,0,0.0,paired_permutation_monte_carlo,10000,paired_bootstrap_percentile,"(protocol, fold_id, train_seed, outer_repeat_id)",0,inverse_KAN
