sample_id,source_row_number,true,GRNN_pred
5,7,1426.1854,1532.5043250932208
9,11,1664.0759,1765.6453677459667
22,24,2413.8792,2516.8656715604957
24,26,2526.4011,2654.64548922955
30,32,2884.5242,3009.8438123708247
33,35,3044.704,3185.1722167573353
42,44,1473.7611,1656.2293504450859
45,47,1700.0353,1799.092228706436
46,48,1760.728,1854.4477899020687
56,58,2458.805,2460.7562741768115
63,65,2954.2683,2959.594923074192
73,75,3666.755,3636.9538095780927
75,77,3809.1907,3784.9003587102734
82,84,1679.7452,1979.5785515616421
97,99,2929.6528,2907.2162015635745
108,110,3844.4187,3731.6073062373716
109,111,3935.89,3831.064594094205
111,113,4102.642,4057.648799118217
112,114,4206.3315,4175.35970803149
113,115,4268.961,4287.383275652501
118,120,4675.305,4669.99250055765
139,141,3493.7063,3451.7113101391687
143,145,3888.157,3840.672488769799
144,146,3994.0007,3950.9679739680805
146,148,4176.9893,4189.223628180554
147,149,4284.7866,4312.113482595865
148,150,4371.694,4433.168941991834
152,154,4766.6953,4876.229908456422
154,156,4967.5664,5074.454071148784
155,157,5065.6377,5164.384562227233
165,167,2338.5566,2596.782161851784
173,175,3224.4045,3239.367276073343
197,199,5868.4106,5882.066988437933
208,210,2890.384,3022.5336131637387
212,214,3381.0774,3427.271598677518
213,215,3507.9988,3555.116287521583
223,225,4751.7534,4722.620169263656
230,232,5624.7373,5594.031277638381
236,238,6359.73,6362.331495551
237,239,6483.2754,6490.590163929688
254,256,3894.7515,3843.597298059382
255,257,4031.8428,3993.726809057717
266,268,5550.1455,5408.924466193859
269,271,5975.8765,5866.86102137298
